review,class,text_for_models,text_for_stats,detected_aspects,aspects_parsed,aspect_sentiments,sentiments_parsed
"Awesome!  It is sooo much fun for me to take part in activities that make me feel like a kid again!  Honestly if acting child-like could be considered a hobby, I'd say it's my favorite hobby!  That being said, this artist made me feel like a beautiful little girl all over again!  She was so sweet and so swift with her painting!  Wow!  I told her to just paint whatever felt right.  :)  She painted my pretty swirly, starry design in like 5 minutes tops!  And she did it all with a smile!  :)  I hope she will be at the Ostrich Fest in Chandler, and I hope I can get my face painted by her again!  Awesome!
",1,"awesome! it is sooo much fun for me to take part in activities that make me feel like a kid again! honestly if acting child-like could be considered a hobby, i would say it is my favorite hobby! that being said, this artist made me feel like a beautiful little girl all over again! she was so sweet and so swift with her painting! wow! i told her to just paint whatever felt right. :) she painted my pretty swirly, starry design in like 5 minutes tops! and she did it all with a smile! :) i hope she will be at the ostrich fest in chandler, and i hope i can get my face painted by her again! awesome!",awesome sooo much fun take part activity make feel like kid honestly act child like could consider hobby would say favorite hobby say artist make feel like beautiful little girl sweet swift paint wow tell paint whatever felt right paint pretty swirly starry design like 5 minute top smile hope ostrich fest chandler hope get face paint awesome,"{'design and aesthetics': 0.971, 'content quality': 0.63}","{'design and aesthetics': 0.971, 'content quality': 0.63}","{'design and aesthetics': 'POSITIVE', 'content quality': 'POSITIVE'}","{'design and aesthetics': 'POSITIVE', 'content quality': 'POSITIVE'}"
"The Rhythm Room was the first blues bar I visited when I moved here to Arizona. I randomly showed up for their fall music festival.  I saw so many great local acts that I had no idea existed! And It was my first introduction to Big Pete Pearson.  That guy puts on a GREAT show and always interacts with the crowd and will talk to any random bar patron who wants to praise his performance or just talk music. The RR is also really good about showcasing newer bands from all over the country of all genres. The drinks are cheap, the bartenders are awesome and always show ample cleavage. The crowd on any given night ranges from the young hipsters to the AARP crowd who still dress up for a night on the town with cocktails and dancing. There is no pretension here.  I love this place and everytime I go, I wonder why I've been away for so long.
",1,"the rhythm room was the first blues bar i visited when i moved here to arizona. i randomly showed up for their fall music festival. i saw so many great local acts that i had no idea existed! and it was my first introduction to big pete pearson. that guy puts on a great show and always interacts with the crowd and will talk to any random bar patron who wants to praise his performance or just talk music. the rr is also really good about showcasing newer bands from all over the country of all genres. the drinks are cheap, the bartenders are awesome and always show ample cleavage. the crowd on any given night ranges from the young hipsters to the aarp crowd who still dress up for a night on the town with cocktails and dancing. there is no pretension here. i love this place and everytime i go, i wonder why i have been away for so long.",rhythm room first blue bar visit move arizona randomly show fall music festival saw many great local act idea exist first introduction big pete pearson guy put great show always interacts crowd talk random bar patron want praise performance talk music rr also really good showcasing new band country genre drink cheap bartender awesome always show ample cleavage crowd give night range young hipster aarp crowd still dress night town cocktail dance pretension love place everytime go wonder away long,{'content quality': 0.799},{'content quality': 0.799},{'content quality': 'POSITIVE'},{'content quality': 'POSITIVE'}
"As a former BR employee, I'm very hard on my shopping experiences at Banana Republic as a customer. However, I had a great time shopping here with my husband on Saturday! We shopped on all 3 floors and received multiple offers for assistance. My husband was the focus of the trip, and the guys on the men's floor were very helpful. They asked what we were shopping for, guided us in the right direction, and set up a fitting room for him while we were still browsing. Next time I needwant to shop at Banana, this will definitely be the store that I head to!
",1,"as a former br employee, i am very hard on my shopping experiences at banana republic as a customer. however, i had a great time shopping here with my husband on saturday! we shopped on all 3 floors and received multiple offers for assistance. my husband was the focus of the trip, and the guys on the men's floor were very helpful. they asked what we were shopping for, guided us in the right direction, and set up a fitting room for him while we were still browsing. next time i needwant to shop at banana, this will definitely be the store that i head to!",former br employee hard shopping experience banana republic customer however great time shopping husband saturday shop 3 floor receive multiple offer assistance husband focus trip guy men floor helpful ask shop guided us right direction set fitting room still browse next time needwant shop banana definitely store head,"{'value for money': 0.843, 'customer experience': 0.688}","{'value for money': 0.843, 'customer experience': 0.688}","{'value for money': 'POSITIVE', 'customer experience': 'POSITIVE'}","{'value for money': 'POSITIVE', 'customer experience': 'POSITIVE'}"
"Sadly, the professionalism of the front desk never got better.  Despite Emilio's assurances that changes were being made, my latest visit proved otherwise.  I called ahead and was assured that Marshall was on time...in fact, he didn't have an appointment ahead of mine and could take me as soon as I got there.  I was there a few minutes before my appointment.  I waited.  And waited.  Fifteen minutes later, I asked if Marshall knew I was waiting.  I was told by the brunette that they had been busy.  Odd, she, the blonde and two other employees had been standing there talking for a while.  She went back to notify Marshall.  When Marshall came up front to get me, the brunette admonished him that he should keep an eye out for his clients - she shouldn't have to notify him that his appointment is there.  Wow.  And the purpose of a receptionist is....what  I'm done.  I'm out.  Apparently nothing will help Izzazu's but getting rid of the front desk staff.  On a positive note, it was another great cut.  Not good enough to lure me back, though.
",0,"sadly, the professionalism of the front desk never got better. despite emilio's assurances that changes were being made, my latest visit proved otherwise. i called ahead and was assured that marshall was on time...in fact, he did not have an appointment ahead of mine and could take me as soon as i got there. i was there a few minutes before my appointment. i waited. and waited. fifteen minutes later, i asked if marshall knew i was waiting. i was told by the brunette that they had been busy. odd, she, the blonde and two other employees had been standing there talking for a while. she went back to notify marshall. when marshall came up front to get me, the brunette admonished him that he should keep an eye out for his clients - she should not have to notify him that his appointment is there. wow. and the purpose of a receptionist is....what i am done. i am out. apparently nothing will help izzazu's but getting rid of the front desk staff. on a positive note, it was another great cut. not good enough to lure me back, though.",sadly professionalism front desk never get well despite emilio assurance change make late visit prove otherwise call ahead assure marshall time fact appointment ahead mine could take soon get minute appointment wait wait fifteen minute later ask marshall know wait tell brunette busy odd blonde two employee stand talk go back notify marshall marshall come front get brunette admonish keep eye client notify appointment wow purpose receptionist apparently nothing help izzazu get rid front desk staff positive note another great cut good enough lure back though,"{'content quality': 0.457, 'customer experience': 0.451}","{'content quality': 0.457, 'customer experience': 0.451}","{'content quality': 'NEGATIVE', 'customer experience': 'NEGATIVE'}","{'content quality': 'NEGATIVE', 'customer experience': 'NEGATIVE'}"
"4.5 .5 off for hard ass tires.This is awesome - i've never been gokarting, unless you count MarioKart.Let me tell you, this is NOTHING like MarioKart. These things go somewhere around 60MPH, and my best time around a 14 mile track was 1:27. Yes, minute and 27 seconds! whoo!sliding out is easy to do with their hard tires, but seriously - this requires relinquishing all fears and pushing your driving skills to the extreme! There is seriously very little risk.If you're a speed junkie like me, you HAVE to do this. BTW, with a group, it's 70 bucks, you get use of the lounge (and their wii), a t-shirt, free drink, and 2 times around. Plus you get to race your friends. We were there for a bachelor party and had 13 people.
",1,"4.5 .5 off for hard ass tires.this is awesome - i have never been gokarting, unless you count mariokart.let me tell you, this is nothing like mariokart. these things go somewhere around 60mph, and my best time around a 14 mile track was 1:27. yes, minute and 27 seconds! whoo!sliding out is easy to do with their hard tires, but seriously - this requires relinquishing all fears and pushing your driving skills to the extreme! there is seriously very little risk.if you are a speed junkie like me, you have to do this. by the way, with a group, it is 70 bucks, you get use of the lounge (and their wii), a t-shirt, free drink, and 2 times around. plus you get to race your friends. we were there for a bachelor party and had 13 people.",4 5 5 hard tire awesome never gokarting unless count mariokart let tell nothing like mariokart thing go somewhere around 60mph best time around 14 mile track 1 27 yes minute 27 second whoo slide easy hard tire seriously require relinquish fear push drive skill extreme seriously little risk speed junkie like way group 70 buck get use lounge wii shirt free drink 2 time around plus get race friend bachelor party 13 people,"{'value for money': 0.767, 'functionality': 0.475}","{'value for money': 0.767, 'functionality': 0.475}","{'value for money': 'POSITIVE', 'functionality': 'POSITIVE'}","{'value for money': 'POSITIVE', 'functionality': 'POSITIVE'}"
"Just to clarify, my rating for this business is not based on the quality of their work, but based on their service. The problem I had with them is that I never got any service. I called them on a Thursday to see if they can do a rush order for me because I needs shirts made by Sunday. The service rep promised everything will be done by Friday and that he'd call me to let me know it's done. He called on Friday afternoon to tell me that it won't be done until Saturday and he'll come in on Saturday to finish the job. Of course, no calls on Saturday and Sunday, so I missed the deadline where I could've order from another place and actually got the shirts in time! The rep finally called me on Monday to ""confirm"" that I still want the shirts. Wow thanks Sherlock!!! I needed those shirts bleeping yesterday!!!Anyways, I don't recommend businesses that over-promise and under-deliver.
",0,"just to clarify, my rating for this business is not based on the quality of their work, but based on their service. the problem i had with them is that i never got any service. i called them on a thursday to see if they can do a rush order for me because i needs shirts made by sunday. the service rep promised everything will be done by friday and that he would call me to let me know it is done. he called on friday afternoon to tell me that it will not be done until saturday and he will come in on saturday to finish the job. of course, no calls on saturday and sunday, so i missed the deadline where i could have order from another place and actually got the shirts in time! the rep finally called me on monday to ""confirm"" that i still want the shirts. wow thanks sherlock!!! i needed those shirts bleeping yesterday!!!anyways, i do not recommend businesses that over-promise and under-deliver.",clarify rating business base quality work base service problem never get service call thursday see rush order need shirt make sunday service rep promise everything friday would call let know call friday afternoon tell saturday come saturday finish job course call saturday sunday miss deadline could order another place actually get shirt time rep finally call monday confirm still want shirt wow thanks sherlock need shirt bleep yesterday anyways recommend business promise deliver,"{'product quality': 0.639, 'content quality': 0.451}","{'product quality': 0.639, 'content quality': 0.451}","{'product quality': 'NEGATIVE', 'content quality': 'NEGATIVE'}","{'product quality': 'NEGATIVE', 'content quality': 'NEGATIVE'}"
"I've been waiting to change from four stars to five and tonights dining experience did it.  The staff always makes us feel like one of their family and tonight was no different.  My eggplant parmesan was mouth-watering accompanied with their house Chianti.  Friday night live jazz always a pleasure.  Thanks, Julie, for noticing my hair...yours was adorable as well!  BTW...the place was packed...you may need a reservation!
",1,"i have been waiting to change from four stars to five and tonights dining experience did it. the staff always makes us feel like one of their family and tonight was no different. my eggplant parmesan was mouth-watering accompanied with their house chianti. friday night live jazz always a pleasure. thanks, julie, for noticing my hair...yours was adorable as well! by the way...the place was packed...you may need a reservation!",wait change four star five tonight din experience staff always make us feel like one family tonight different eggplant parmesan mouth water accompany house chianti friday night live jazz always pleasure thanks julie notice hair adorable well way place pack may need reservation,"{'content quality': 0.919, 'value for money': 0.695, 'design and aesthetics': 0.461}","{'content quality': 0.919, 'value for money': 0.695, 'design and aesthetics': 0.461}","{'content quality': 'POSITIVE', 'value for money': 'POSITIVE', 'design and aesthetics': 'POSITIVE'}","{'content quality': 'POSITIVE', 'value for money': 'POSITIVE', 'design and aesthetics': 'POSITIVE'}"
"In the last 6 months Ricks has definitely had a good shake up, and after my fantastic experience last week I think things can only get better. The bar team are innovative and original and during a busy Friday night shift never failed to impress me as I worked my way through the new cocktail list! And the bar snacks were unique and delicious! The DJ provides a funky relaxed atmosphere and gradually builds up the beats to get you in that weekend mood! I will be back again and again and will be taking all my friends too! I recommend a passionfruit frozen margarita or 'busy with the fizzy' strawberry soda stream cocktail! Just fab!
",1,"in the last 6 months ricks has definitely had a good shake up, and after my fantastic experience last week i think things can only get better. the bar team are innovative and original and during a busy friday night shift never failed to impress me as i worked my way through the new cocktail list! and the bar snacks were unique and delicious! the dj provides a funky relaxed atmosphere and gradually builds up the beats to get you in that weekend mood! i will be back again and again and will be taking all my friends too! i recommend a passionfruit frozen margarita or 'busy with the fizzy' strawberry soda stream cocktail! just fab!",last 6 month rick definitely good shake fantastic experience last week think thing get good bar team innovative original busy friday night shift never fail impress work way new cocktail list bar snack unique delicious dj provide funky relaxed atmosphere gradually build beat get weekend mood back take friend recommend passionfruit frozen margarita busy fizzy strawberry soda stream cocktail fab,"{'content quality': 0.892, 'product quality': 0.879, 'design and aesthetics': 0.784}","{'content quality': 0.892, 'product quality': 0.879, 'design and aesthetics': 0.784}","{'content quality': 'POSITIVE', 'product quality': 'POSITIVE', 'design and aesthetics': 'POSITIVE'}","{'content quality': 'POSITIVE', 'product quality': 'POSITIVE', 'design and aesthetics': 'POSITIVE'}"
"Oh my, I love Sir Ed's. It is without a doubt the best bar in Charlotte. Sir Ed's doesn't have the biggest beer list or any unique drinks, but they make up for it in quality. My last few years of college I came in about once a week, sometimes more. I chose Sir Eds for my first legal drinks. Now when I come back to Charlotte the trip isn't complete without a plate of Jamaican Jerk Chicken nachos and a beer. Sir Ed's has some of the best barpub food  you'll find. Worth coming just for dinner. In the springsummerfall, the patio is fantastic. My world felt like it fell apart when Sir Ed's closed briefly, and I am so happy they're back!
",1,"oh my, i love sir ed's. it is without a doubt the best bar in charlotte. sir ed's does not have the biggest beer list or any unique drinks, but they make up for it in quality. my last few years of college i came in about once a week, sometimes more. i chose sir eds for my first legal drinks. now when i come back to charlotte the trip is not complete without a plate of jamaican jerk chicken nachos and a beer. sir ed's has some of the best barpub food you will find. worth coming just for dinner. in the springsummerfall, the patio is fantastic. my world felt like it fell apart when sir ed's closed briefly, and i am so happy they are back!",oh love sir ed without doubt best bar charlotte sir ed big beer list unique drink make quality last year college come week sometimes choose sir ed first legal drink come back charlotte trip complete without plate jamaican jerk chicken nacho beer sir ed best barpub food find worth come dinner springsummerfall patio fantastic world felt like fell apart sir ed close briefly happy back,"{'product quality': 0.934, 'value for money': 0.744, 'content quality': 0.712}","{'product quality': 0.934, 'value for money': 0.744, 'content quality': 0.712}","{'product quality': 'POSITIVE', 'value for money': 'POSITIVE', 'content quality': 'POSITIVE'}","{'product quality': 'POSITIVE', 'value for money': 'POSITIVE', 'content quality': 'POSITIVE'}"
"This is my favorite place to visit for some delicious fruit, sandwiches, and incredibly friendly people. Upon entering, the staff will offer you free samples of the fruit they have to offer. I enjoy picking up local or organic fruits and vegetables and supporting the last remaining fruit stand left along Baseline Rd. Before the push to build along South Mountain, there were several others that lined the street. When the City of Phoenix widened the road, they took away the left hand turn to make it easily into the parking lot. I refuse to let such an inconvenience keep me from a place that I share with all of my friends, when I can get the chance. If you want to support a local business, experience real hospitality, and find something delicious to eat then I highly recommend Summers Fruit Barn.
",1,"this is my favorite place to visit for some delicious fruit, sandwiches, and incredibly friendly people. upon entering, the staff will offer you free samples of the fruit they have to offer. i enjoy picking up local or organic fruits and vegetables and supporting the last remaining fruit stand left along baseline rd. before the push to build along south mountain, there were several others that lined the street. when the city of phoenix widened the road, they took away the left hand turn to make it easily into the parking lot. i refuse to let such an inconvenience keep me from a place that i share with all of my friends, when i can get the chance. if you want to support a local business, experience real hospitality, and find something delicious to eat then i highly recommend summers fruit barn.",favorite place visit delicious fruit sandwich incredibly friendly people upon enter staff offer free sample fruit offer enjoy pick local organic fruit vegetable support last remaining fruit stand leave along baseline rd push build along south mountain several others line street city phoenix widen road take away left hand turn make easily parking lot refuse let inconvenience keep place share friend get chance want support local business experience real hospitality find something delicious eat highly recommend summer fruit barn,"{'value for money': 0.599, 'product quality': 0.593}","{'value for money': 0.599, 'product quality': 0.593}","{'value for money': 'POSITIVE', 'product quality': 'POSITIVE'}","{'value for money': 'POSITIVE', 'product quality': 'POSITIVE'}"
